counterparty_id,canonical_name,category,aliases
CP0001,SELECTION ELECTRONICS,inventory,SELECTION ELECTRONICS | SELECTION ELECTRONIC | SELECTION ELECTRONICS PVT LTD
CP0002,SELECTION MOBILE,inventory,SELECTION MOBILE | SELECTION MOBILES | SELECTION MOBILE SHOP
CP0003,NAVYUG SELECTION,inventory,NAVYUG SELECTION | NAVYUG SELECTIONS
CP0004,SELECTIONMALIGAI,inventory,SELECTIONMALIGAI | SELECTION MALIGAI
CP0005,UMANG SELECTION,inventory,UMANG SELECTION | UMANG SELECTIONHAPURBPES
CP0006,SELECT MOBILES,inventory,SELECT MOBILES | SELECT MOBILE
CP0007,SELECTRICITY TWO PRIVATE LIMITED,utilities,SELECTRICITY TWO PRIVATE LIMITED | SELECTRICITY TWO PVT LTD
CP0008,SELECTRICITY ONE PRIVATE LIMITED,utilities,SELECTRICITY ONE PRIVATE LIMITED | SELECTRICITY ONE PVT LTD
CP0009,RELIANCE DIGITAL RETAIL LTD,inventory,RELIANCEDIGITAL RETAIL LTD | RELIANCE DIGITAL RETAIL LTD | RELIANCE DIGITAL
CP0010,INFOSYS LIMITED,professional_services,INFOSYS LIMITED | INFOSYS LTD | INFOSYS
CP0011,TATA CONSULTANCY SERVICES LTD,professional_services,TATA CONSULTANCY SERVICES LTD | TCS LIMITED | TATA CONSULTANCY SERV
CP0012,LARSEN AND TOUBRO LIMITED,professional_services,LARSEN AND TOUBRO LIMITED | L AND T LTD | LARSEN TOUBRO
CP0013,AMAZON SELLER SERVICES PVT LTD,software,AMAZON SELLER SERVICES PVT LTD | AMAZON SELLER SERV | AMAZON WEB SERVICES
CP0014,TATA POWER COMPANY LIMITED,utilities,TATA POWER COMPANY LIMITED | TATA POWER
CP0015,ADANI ELECTRICITY MUMBAI LTD,utilities,ADANI ELECTRICITY MUMBAI LTD | ADANI ELECTRICITY
CP0016,BESCOM BANGALORE,utilities,BESCOM BANGALORE | BESCOM
CP0017,MAHANAGAR GAS LIMITED,utilities,MAHANAGAR GAS LIMITED | MAHANAGAR GAS
CP0018,BHARTI AIRTEL LIMITED,utilities,BHARTI AIRTEL LIMITED | AIRTEL | BHARTI AIRTEL
CP0019,RELIANCE JIO INFOCOMM LTD,utilities,RELIANCE JIO INFOCOMM LTD | JIO INFOCOMM
CP0020,BLUE DART EXPRESS LIMITED,logistics,BLUE DART EXPRESS LIMITED | BLUEDART EXPRESS | BLUE DART
CP0021,DELHIVERY LIMITED,logistics,DELHIVERY LIMITED | DELHIVERY
